19.07.2015,12:47:53,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:53,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:53,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:53,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:53,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:53,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:53,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:54,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:55,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:55,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:55,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:55,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:55,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:55,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:55,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:55,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:55,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:55,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:55,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:56,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:56,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:56,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:57,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:57,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:57,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:57,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:57,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:57,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
19.07.2015,12:47:57,3,Group Voice Call to Group,3025010,3021231,1,Service Options : Non-emergency/Privacy Enabled/No priority
